date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-09-24,AE,1002,1,,93618,88532,407,,9130551
2020-09-24,AF,0,0,,,39170,1451,,
2020-09-24,AM,392,2,,,48643,947,,
2020-09-24,AT,688,6,,18518,41246,783,,1507782
2020-09-24,AU,10,2,,47634,26983,861,,7441327
2020-09-24,AZ,162,1,,,39686,581,,
2020-09-24,BE,0,1,,603,108674,9965,,3027173
2020-09-24,BH,687,0,,22705,67701,231,,1378104
2020-09-24,BR,32817,831,30903,,4657702,139808,4023789,6400000
2020-09-24,BY,294,6,,7315,76651,802,,1744682
2020-09-24,CA,1341,6,919,67590,149094,9249,128707,6901251
2020-09-24,CH,508,4,,8088,51492,1776,,1313944
2020-09-24,CN,15,0,13,,90933,4745,80458,
2020-09-24,CZ,2910,12,,22025,58374,567,,1286000
2020-09-24,DE,2153,15,,,280223,9443,,15642654
2020-09-24,DK,559,2,,7279,24916,645,,3492190
2020-09-24,DO,385,2,,2599,110122,2076,,452188
2020-09-24,DZ,0,0,,,50400,1698,,
2020-09-24,EC,1164,42,,4339,131146,11213,,337427
2020-09-24,EE,43,0,,2534,3076,64,,199944
2020-09-24,EG,138,13,,,102513,5835,,
2020-09-25,FI,105,0,,9686,9484,343,,936859
2020-09-24,FR,16068,52,,173278,474200,31325,,
2020-09-25,GB,344,7,,274768,423235,41936,,23188836
2020-09-24,GE,265,1,,,4664,26,,
2020-09-24,GR,341,9,,13134,16627,366,,1246363
2020-09-24,HR,232,4,,5414,15572,261,,284449
2020-09-24,ID,4634,128,,34786,262022,10105,,1834349
2020-09-24,IE,319,3,,14373,33994,1797,,1106992
2020-09-24,IL,0,0,,54471,206049,1369,,3201110
2020-09-24,IN,86052,1141,,1492409,5818570,92290,,68928440
2020-09-24,IQ,4471,45,,22816,337106,8799,,2121304
2020-09-24,IR,3521,175,,27711,436319,25015,,3828330
2020-09-24,IS,36,0,,4525,2512,10,,116711
2020-09-24,JP,456,12,,6112,80497,1532,,2309187
2020-09-24,KH,0,0,,,275,0,,
2020-09-24,KR,114,2,,12484,23455,395,,2260701
2020-09-24,KW,552,2,,4622,101851,592,,720509
2020-09-24,LB,1027,1,,,32805,329,,
2020-09-24,LK,9,0,,2555,3333,13,,278145
2020-09-24,LT,138,2,,6613,4070,89,,744174
2020-09-24,LU,68,0,,76,8158,124,,8233
2020-09-24,MC,0,0,,,208,1,,
2020-09-24,MK,151,2,,,17200,712,,
2020-09-24,MX,4786,601,,12158,710049,74949,,1532585
2020-09-24,MY,71,0,,11860,10576,133,,1484812
2020-09-24,NG,125,0,,1912,57849,1102,,494577
2020-09-25,NL,2759,16,,,105015,6310,,2240526
2020-09-24,NO,123,3,,2502,13275,270,,952808
2020-09-24,NP,1497,17,,9497,69301,453,,944474
2020-09-24,OM,568,10,,2682,95907,885,,
2020-09-24,PH,2164,36,,36201,296755,5127,,3305307
2020-09-24,PK,807,7,,37504,309015,6444,,3344019
2020-09-24,QA,250,0,,6039,124425,212,,745130
2020-09-24,RO,1639,41,265,24703,118054,4591,20799,2302828
2020-09-24,SE,335,0,,19924,90289,5878,,
2020-09-24,SG,15,0,,,57654,27,,922418
2020-09-24,SM,0,0,,,746,42,,
2020-09-24,TH,3,0,,1649,3519,59,,444855
2020-09-24,TW,0,0,,197,509,7,,92565
2020-09-24,US,40043,1125,,299840,6868828,200725,,107300299
2020-09-24,VN,0,0,,778,1069,35,,261004
2020-09-25,ES,10653,84,,88636,704209,31118,,8782104
2020-09-25,IT,1912,20,954,107269,306235,35801,222716,10894963
2020-09-25,NZ,2,0,,6465,1473,25,,937244
2020-09-25,RU,7212,108,,374157,1136048,20056,,44364566
2020-09-24,AR,3038,16,,0,655219,19109,,0
2020-09-24,AR_C,165,5,,0,119743,3916,,0
2020-09-24,AD,0,0,,,1753,53,,
2020-09-24,AG,0,0,,,97,3,,
2020-09-24,AI,0,0,,,3,0,,
2020-09-24,AL,134,0,,,12921,370,,
2020-09-24,AO,112,3,,,4475,162,,
2020-09-24,AS,0,0,,,0,0,,
2020-09-24,AW,56,0,,,3721,25,,
2020-09-24,BA,237,12,,,26313,795,,
2020-09-24,BB,0,0,,,189,7,,
2020-09-24,BD,1540,28,,13673,355384,5072,,1783779
2020-09-24,BF,22,0,,,1929,56,,
2020-09-24,BG,290,6,,8385,19573,785,,507451
2020-09-24,BI,6,0,,,483,1,,
2020-09-24,BJ,0,0,,,2325,40,,
2020-09-24,BM,1,0,,,181,9,,
2020-09-24,BN,1,0,,,146,3,,
2020-09-24,BO,537,38,,1605,131990,7731,,287260
2020-09-24,BQ,9,0,,,78,1,,
2020-09-24,BS,151,3,,,3618,80,,
2020-09-24,BT,2,0,,,263,0,,
2020-09-24,BW,354,0,,,2921,13,,
2020-09-24,BZ,37,1,,,1706,22,,
2020-09-24,CD,18,0,,238,10554,271,,
2020-09-24,CF,0,0,,,4804,62,,
2020-09-24,CG,0,0,,,5005,89,,
2020-09-24,CI,71,0,,1420,19501,120,,156390
2020-09-24,CK,0,0,,,0,0,,
2020-09-24,CL,1731,124,,29078,451634,12469,,3105172
2020-09-24,CM,0,0,,,20690,416,,
2020-09-24,CO,1,15,12606,24348,786744,26779,674961,3160591
2020-09-24,CR,1370,21,,2977,68059,781,,186877
2020-09-24,CU,40,0,,7625,5310,118,,569371
2020-09-24,CV,67,1,,,5479,55,,
2020-09-24,CW,10,0,,,301,1,,
2020-09-24,CY,9,0,,,1663,22,,
2020-09-24,DJ,0,0,,,5407,61,,
2020-09-24,DM,0,0,,,24,0,,
2020-09-24,ER,5,0,,,369,0,,
2020-09-24,ET,604,7,,8348,71687,1148,,1234645
2020-09-24,FK,0,0,,,13,0,,
2020-09-24,FM,0,0,,,0,0,,
2020-09-24,FO,4,0,,,455,0,,
2020-09-24,GA,0,0,,,8716,54,,
2020-09-24,GF,28,0,,,9790,65,,
2020-09-24,GG,0,0,,,256,13,,
2020-09-24,GH,37,2,,1831,46153,299,,474120
2020-09-24,GI,2,0,,,357,0,,
2020-09-24,GL,0,0,,,14,0,,
2020-09-24,GM,0,0,,,3552,110,,
2020-09-24,GN,44,0,,,10478,65,,
2020-09-24,GQ,0,0,,,5018,83,,
2020-09-24,GT,491,16,,,87933,3170,,
2020-09-24,GU,28,1,,,2263,39,,
2020-09-24,GW,21,0,,,2324,39,,
2020-09-24,GY,98,1,,,2535,69,,
2020-09-24,HN,369,16,,,72675,2222,,
2020-09-24,HT,0,0,,,8646,225,,
2020-09-24,HU,927,9,,11116,22127,718,,668553
2020-09-24,IM,0,0,,,340,24,,
2020-09-24,JE,1,0,,,399,32,,
2020-09-24,JM,193,1,,,5588,77,,
2020-09-24,JO,549,1,,,6591,36,,78885
2020-09-24,KE,141,5,,3874,37489,669,,523998
2020-09-24,KG,175,0,,,45932,1063,,
2020-09-24,KM,0,0,,,470,7,,
2020-09-24,KN,0,0,,,19,0,,
2020-09-24,KP,0,0,,,0,0,,
2020-09-24,KY,0,0,,,210,1,,
2020-09-24,KZ,292,0,,9474,139581,2043,,2733455
2020-09-24,LA,0,0,,,23,0,,
2020-09-24,LC,0,0,,,27,0,,
2020-09-24,LI,0,0,,,117,1,,
2020-09-24,LR,1,0,,,1338,82,,
2020-09-24,LS,47,0,,,1554,35,,
2020-09-24,LV,22,0,,2431,1594,36,,306652
2020-09-24,LY,535,5,,3461,30632,474,,197575
2020-09-24,MA,2356,38,,23504,110099,1956,,2457373
2020-09-24,MD,721,8,,,48953,1252,,
2020-09-24,ME,0,0,,,9906,154,,
2020-09-24,MG,24,1,,223,16191,227,,68787
2020-09-24,ML,7,0,,,3041,130,,
2020-09-24,MM,688,25,,3977,8515,155,,220187
2020-09-24,MN,0,0,,,313,0,,
2020-09-24,MP,0,0,,,69,2,,
